"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.793166601E-3,4.864708006E-2,-2.495097551E-1,-4.737525219E-1,5.376458949E-1
1.381916669E-2,-2.173553315E-1,-3.280805460E-1,-1.309389805E0,1.367253395E0
2.384616667E-2,-3.220878808E-1,-2.542755282E-1,-1.887199377E0,1.931299597E0
3.387316666E-2,-5.779722704E-1,-6.972687721E-2,-1.910699337E0,1.997419770E0
4.389916663E-2,-8.475195564E-1,2.285761383E-1,-1.405706896E0,1.657271349E0
5.392616661E-2,-3.546406460E-1,5.302807716E-1,-8.504243070E-1,1.063103563E0
6.395216670E-2,7.761253457E-1,5.789336988E-1,-7.581412107E-1,1.229761308E0
7.397916669E-2,6.360688895E-1,4.788460314E-1,4.901065993E-1,9.349233299E-1
8.400616667E-2,9.273511532E-1,3.276841047E-1,1.096300310E0,1.472831084E0
9.403216664E-2,1.204203804E0,-1.553450248E-1,4.459612906E-1,1.293491535E0
1.040591666E-1,1.705879997E0,-9.856610495E-1,-6.288557643E-1,2.068094253E0
1.140851666E-1,1.640621708E0,-1.337309383E0,-2.628925699E-1,2.132873292E0
1.241121667E-1,1.760886947E0,-1.106180643E0,1.193533659E-1,2.082931511E0
1.341391667E-1,1.678379080E0,-5.482875645E-1,9.869778425E-1,2.022795306E0
1.441651667E-1,1.390480600E0,-2.905288500E-1,1.699081585E0,2.214660594E0
1.541921666E-1,1.595982748E0,-5.946226555E-1,1.563811514E0,2.312194517E0
1.642191666E-1,1.861508465E0,-9.516837564E-1,1.065888941E0,2.346707262E0
1.742451667E-1,1.249665614E0,-1.169522360E0,4.137864017E-1,1.760870774E0
1.842721667E-1,5.628171645E-1,-9.948517030E-1,-2.371542960E-1,1.167362511E0
1.942981667E-1,2.330613913E-1,-6.407253197E-1,-5.965563297E-1,9.059392926E-1
2.043251666E-1,5.118521020E-2,-6.607561263E-1,-9.304177254E-1,1.142320326E0
2.143521666E-1,-3.001136059E-1,-6.621384081E-1,-1.008093892E0,1.242879215E0
2.243781666E-1,6.236610979E-2,-5.943688864E-1,-9.597175384E-1,1.130584653E0
2.344051667E-1,1.028649048E0,1.205578923E-2,-8.300736576E-1,1.321849645E0
