"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.153083359E-3,-6.541461414E-1,1.414624484E0,-2.437934586E0,2.893543615E0
1.518008334E-2,-4.832212105E-1,1.454322401E0,-2.950012098E0,3.324323655E0
2.520608332E-2,-2.754415718E-1,8.272324955E-1,-2.505896189E0,2.653242803E0
3.523208329E-2,1.251304150E-1,-2.049069017E-2,-9.635591590E-1,9.718661133E-1
4.525908327E-2,3.210016143E-1,-4.792901275E-1,1.719239277E-1,6.019293144E-1
5.528508336E-2,2.932422504E-1,-6.238230658E-1,1.114334877E0,1.310300902E0
6.531208334E-2,2.486063603E-1,-1.032980227E0,1.237107110E0,1.630732128E0
7.533808332E-2,-1.619036127E0,-8.687962586E-1,1.761341568E0,2.545271899E0
8.536408329E-2,-2.157327584E0,-2.859262142E-1,2.018995618E0,2.968528155E0
9.539108328E-2,-1.188828989E0,-9.826655209E-2,6.296077162E-1,1.348842673E0
1.054170834E-1,-6.425066739E-1,-9.567945153E-2,-4.231267440E-1,7.752455256E-1
1.154440833E-1,-5.908933014E-2,4.209819853E-2,-1.395922165E0,1.397806316E0
1.254700833E-1,5.082620578E-1,2.847944856E-2,-2.032595657E0,2.095372640E0
1.354960833E-1,6.121315581E-1,-2.168293744E-1,-1.689100388E0,1.809635362E0
1.455230833E-1,8.175253867E-1,-6.919711947E-1,-9.024890846E-1,1.400592175E0
1.555490834E-1,5.727249791E-1,-1.027817428E0,1.607089680E-1,1.187539447E0
1.655760834E-1,1.799977630E-2,-8.043441546E-1,9.278168839E-1,1.228062572E0
1.756020833E-1,-8.112134635E-3,-3.926650894E-1,1.141858891E0,1.207515385E0
1.856280833E-1,5.770412475E-2,-4.727497244E-1,1.178035029E0,1.270664628E0
1.956550833E-1,-2.084412512E-1,-4.720634075E-1,5.182995343E-1,7.313863706E-1
2.056810834E-1,-5.190354064E-1,-9.403954142E-1,-5.816295576E-1,1.221488531E0
2.157080834E-1,3.418530777E-2,-8.469322036E-1,-1.244175809E0,1.505468776E0
2.257340833E-1,7.352457069E-1,-5.252568439E-2,-1.334162119E0,1.524248588E0
2.357600833E-1,-2.509535788E-1,-4.374027210E-1,-1.238815666E0,1.337521250E0
2.457870833E-1,-8.207057603E-1,-7.535980703E-1,-9.618605429E-1,1.471952343E0
2.558130833E-1,-7.012302607E-2,-7.159262140E-1,-5.386297184E-1,8.986598668E-1
2.658400834E-1,1.685974028E0,-9.791710787E-2,2.328222694E0,2.876233144E0
2.758660833E-1,2.019730905E0,4.504795072E-1,3.706133096E0,4.244722280E0
2.858920833E-1,1.729823322E0,-1.637322709E-1,3.903796467E0,4.273022798E0
2.959190833E-1,-1.513164394E-2,-1.040128448E0,1.808235653E0,2.086099790E0
3.059450833E-1,-1.791997789E0,-1.394203522E0,-1.451323364E0,2.694698321E0
3.159720834E-1,-1.383053905E0,8.517902166E-1,-3.991359106E0,4.309214799E0
3.259980833E-1,-2.903357457E-1,2.280135923E0,-3.147660266E0,3.897573582E0
3.360240833E-1,1.280669159E0,8.245313743E-1,-1.335129833E-1,1.528983714E0
3.460510833E-1,1.431567669E0,-1.785738198E0,2.454291587E0,3.355859666E0
3.560770833E-1,-4.593683714E-1,-2.677618972E0,-2.935883471E0,4.000009302E0
3.661040834E-1,-2.247684315E-1,-1.897462264E0,-9.065844744E-1,2.114894631E0
3.761300833E-1,-4.421915907E-1,-2.420427145E0,-2.748401856E-1,2.475790398E0
3.861560833E-1,5.187526935E-1,-3.333502906E0,1.850690532E-1,3.378697461E0
3.961830833E-1,8.869591722E-1,-3.414309964E0,4.762826121E-1,3.559642431E0
4.062090833E-1,2.668464571E-2,-3.150717775E0,-2.949247867E-1,3.164603482E0
4.162360834E-1,-2.191939884E-1,-3.557182878E0,-2.772348543E0,4.515253313E0
4.262620833E-1,-2.076488366E0,-3.227924703E0,-4.961012818E0,6.272395874E0
4.362880833E-1,-7.197373999E0,-1.730829628E0,-6.933730062E0,1.014271050E1
4.463150833E-1,-6.282546705E0,-8.565653452E-1,-7.498436608E0,9.819910838E0
4.563410833E-1,-4.887194059E0,-1.967683084E-1,-5.818927408E0,7.601532721E0
4.663680834E-1,-2.618263886E0,-2.287671669E0,-4.323096208E0,5.547784086E0
4.763940834E-1,-1.571312322E0,-5.216313363E0,-3.151827577E0,6.293883109E0
4.864200833E-1,-9.420554388E-1,-6.088735480E0,-1.435539390E0,6.326210677E0
4.964470833E-1,-1.292039947E0,-6.052065836E0,3.997986925E-1,6.201347201E0
5.064730833E-1,-1.647292796E0,-5.695731837E0,5.248671269E-1,5.952345774E0
5.165000833E-1,-1.261108176E0,-5.164440374E0,2.156546688E-1,5.320558725E0
5.265260834E-1,-1.536502093E0,-3.959453773E0,1.482491362E-1,4.249716540E0
5.365520833E-1,-1.911764114E0,-2.962972159E0,-6.631759965E-1,3.588014555E0
5.465790833E-1,-2.089528241E0,-3.294938472E0,-1.809774055E0,4.300933612E0
