"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.419749999E-3,-7.982811036E-1,2.359956703E-1,-9.031813949E-1,1.228284702E0
1.544574997E-2,-1.239793467E0,-7.453241140E-2,-2.563477814E-1,1.268210198E0
2.547274996E-2,-1.225333668E0,-1.798264396E-1,-1.186304162E0,1.714962889E0
3.549874993E-2,-1.073615598E0,9.135280430E-2,-1.572877037E0,1.906551327E0
4.552574991E-2,-3.912544486E-1,1.928253847E-1,-1.140296515E0,1.220875839E0
5.555175000E-2,9.737330950E-1,1.518726557E-2,-1.208336470E0,1.551922620E0
6.557874999E-2,1.307004287E0,-2.395358670E-1,-1.353650304E0,1.896841265E0
7.560474996E-2,1.030445897E0,-4.555492625E-1,-1.554015673E0,1.919455285E0
8.563174994E-2,9.225359711E-1,-5.458419666E-1,-1.716857121E0,2.024009497E0
9.565774992E-2,9.306152152E-1,-5.032987949E-1,-1.872097188E0,2.150372581E0
1.056847500E-1,8.835472488E-1,-5.133057198E-1,-2.066366251E0,2.305213219E0
1.157107500E-1,1.133007229E0,-5.419158536E-1,-2.191631151E0,2.525989960E0
1.257377500E-1,1.508055097E0,-6.935446805E-1,-2.431155324E0,2.943764700E0
1.357637499E-1,1.789731993E0,-1.046721184E0,-2.773859464E0,3.463100081E0
1.457907499E-1,1.831548209E0,-1.542020403E0,-3.385252519E0,4.146363513E0
1.558167500E-1,1.700153819E0,-1.900777489E0,-4.338033505E0,5.032098246E0
1.658437500E-1,1.167289601E0,-2.408640182E0,-5.297532942E0,5.935315309E0
1.758697500E-1,-4.093829221E0,-2.690512083E0,-3.300062095E0,5.906665962E0
1.858967500E-1,-1.008600846E1,-2.329514490E0,5.840877271E0,1.188570788E1
1.959227499E-1,-5.679667196E0,5.229607885E-1,2.674839790E0,6.299752007E0
2.059497499E-1,7.689152902E-1,2.455131247E0,-4.041318886E0,4.790736739E0
2.159757500E-1,2.099888338E0,1.321731523E0,8.488502365E-1,2.622413388E0
2.260027500E-1,4.573326632E-1,-1.349525678E-1,-1.150830274E0,1.245702886E0
2.360287500E-1,9.017996979E-1,-8.977541555E-1,6.166988182E-1,1.414044784E0
2.460557499E-1,5.276100558E-1,-7.080919683E-1,6.325775170E-1,1.086241650E0
2.560817499E-1,-1.210224536E-1,-4.135921280E-1,1.027370408E0,1.114089242E0
2.661087500E-1,-1.974613497E-1,-1.450080246E0,1.367454996E0,2.002912097E0
2.761347500E-1,1.110042728E0,-2.283690446E0,-2.437352788E0,3.519676906E0
2.861617500E-1,1.997424947E0,-9.201311575E-1,-3.081979662E0,3.786151925E0
2.961877499E-1,1.198862227E0,-2.333389878E-1,-3.777636357E0,3.970170546E0
3.062147499E-1,7.923962465E-1,-2.735551869E-1,-4.890834535E0,4.962155449E0
3.162407499E-1,1.252036221E0,-8.861193658E-1,-4.214916286E0,4.485345196E0
3.262677500E-1,2.218143597E0,-4.219878161E-1,-4.053616750E0,4.640047789E0
3.362947500E-1,2.611486963E0,1.528662731E0,-4.163045052E0,5.146612284E0
3.463207500E-1,1.992319743E0,2.801480541E0,-4.777834754E0,5.886028892E0
3.563477499E-1,1.731167597E0,1.778170293E0,-4.717668074E0,5.330593110E0
3.663737499E-1,1.660054929E0,-6.586782452E-2,-3.401378555E0,3.785432209E0
3.764007500E-1,9.123273173E-1,-1.187480475E0,-2.471211675E0,2.889522133E0
3.864267500E-1,-6.197551578E-2,-2.173158043E0,-1.311454457E0,2.538970192E0
