"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
3.341041622E-3,-9.357046317E-1,6.987473868E-2,-1.118066570E0,1.459622723E0
1.336804160E-2,-3.466995424E-1,3.650709093E-2,-5.686662805E-1,6.670192493E-1
2.339504159E-2,6.549495488E-2,-7.416988403E-2,4.047565466E-1,4.166756806E-1
3.342104168E-2,-1.321546751E-1,-2.499550936E-1,2.032372878E0,2.051945886E0
4.344804166E-2,-1.282936125E0,-6.178262345E-1,3.132988433E0,3.441402458E0
5.347504164E-2,-2.380767820E0,-1.137211743E0,2.406724488E0,3.571222301E0
6.350204162E-2,-3.039773290E0,-1.606018763E0,1.457838331E0,3.734275100E0
7.352904161E-2,-2.690947115E0,-1.785648444E0,1.546435343E0,3.580670190E0
8.355604159E-2,-1.081861780E0,-1.900736851E0,1.560882643E0,2.686927635E0
9.358304169E-2,9.211188984E-1,-1.885875567E0,8.973102057E-1,2.282575801E0
1.036100417E-1,9.378740948E-1,-1.205051943E0,4.732297808E-1,1.598657070E0
1.136370416E-1,7.911566368E-1,-1.387218292E-1,1.176127667E0,1.424236237E0
1.236640416E-1,2.282105996E0,1.077276321E0,-2.716546226E-1,2.538174203E0
1.336910416E-1,2.693295357E0,1.639118097E0,-1.525809875E0,3.502662386E0
1.437170416E-1,1.564097881E0,1.393431836E0,-5.118465471E-1,2.156395453E0
1.537440417E-1,1.115441609E0,9.433840723E-1,-1.441172597E0,2.052111582E0
1.637710417E-1,6.366974652E-1,5.198050462E-2,-2.427021927E0,2.509685452E0
1.737980417E-1,-4.523441112E-1,-5.993746146E-1,-1.448757021E0,1.631797178E0
1.838250416E-1,-7.772345625E-1,-7.478530347E-1,-2.679644448E-1,1.111387723E0
1.938520416E-1,-7.576652473E-1,-9.215062033E-1,-2.278127843E-1,1.214548877E0
2.038790416E-1,-1.096646465E0,-1.685949470E0,-8.570030093E-1,2.186209789E0
2.139060417E-1,-1.281829685E0,-1.704244092E0,-1.475172402E0,2.593003834E0
2.239330417E-1,-1.587973671E0,-1.253692883E0,-2.092046637E0,2.910337670E0
2.339600417E-1,-2.125583488E0,-8.888653645E-1,-2.427256985E0,3.346604738E0
2.439860416E-1,-1.662582534E0,-8.190683938E-1,-1.103934435E0,2.157249395E0
2.540130416E-1,5.242793356E-1,-4.155407126E-1,6.266864473E-1,9.166672290E-1
2.640400416E-1,1.368725011E0,4.182185181E-1,-3.726056314E-1,1.478901566E0
2.740670417E-1,7.180471453E-1,8.499711478E-1,8.529275000E-2,1.115937950E0
2.840940417E-1,8.836908710E-1,9.514209972E-1,3.485993028E-2,1.298971395E0
2.941210417E-1,2.357993208E0,1.050913272E0,-6.936429137E-1,2.673142563E0
3.041480416E-1,1.357875502E-1,6.929507495E-1,-3.471766752E-1,7.868612609E-1
