"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
-1.816374948E-3,-1.375920010E0,3.415937537E-1,-1.456499319E0,2.032543341E0
8.210625034E-3,-1.060373263E0,1.904052222E-1,-1.431785477E0,1.791830142E0
1.823662501E-2,-1.543059745E-1,-2.662751842E-1,-1.195724026E0,1.234693789E0
2.826362499E-2,9.143083540E-1,-3.762200877E-1,-1.574507241E0,1.859186481E0
3.829062497E-2,1.343641917E0,-8.393678069E-2,-1.736832964E0,2.197500337E0
4.831662506E-2,1.001428359E0,2.016909331E-2,-1.298787049E0,1.640156501E0
5.834362505E-2,4.686791852E-1,1.116101906E-1,-8.324710160E-1,9.618341883E-1
6.837062503E-2,1.728042260E-1,2.632480806E-1,-5.862769246E-1,6.654934145E-1
7.839762501E-2,2.402249613E-1,1.720616296E-1,-5.156355429E-1,5.943006390E-1
8.842362498E-2,2.712929723E-1,-3.549637046E-1,-8.634121424E-1,9.721520643E-1
9.845062497E-2,1.658337602E-1,-1.074513000E0,-1.478094256E0,1.834895542E0
1.084776251E-1,-6.069585264E-2,-1.442517749E0,-2.105844896E0,2.553257561E0
1.185036250E-1,-3.002039453E-1,-1.296510143E0,-2.288245280E0,2.647097925E0
1.285306250E-1,-3.460186341E-1,-9.549596590E-1,-2.323629706E0,2.535928204E0
1.385576250E-1,-1.071435025E-1,-9.311477503E-1,-2.302168670E0,2.485658152E0
1.485836250E-1,-5.970650375E-2,-1.258050667E0,-2.383497008E0,2.695795678E0
1.586106251E-1,-3.492138451E-1,-1.621454535E0,-2.131360976E0,2.700697082E0
1.686376251E-1,-1.216423169E0,-1.930602382E0,-1.754018515E0,2.878105598E0
1.786636250E-1,-1.525104408E0,-2.158966558E0,-1.562400581E0,3.070533444E0
1.886906250E-1,-2.277812678E0,-2.069702379E0,-1.995652948E0,3.668068869E0
1.987176250E-1,-2.112270402E0,-1.704556333E0,-2.559327461E0,3.730597217E0
2.087446250E-1,-1.288828656E0,-1.730470024E0,-2.983686798E0,3.682117966E0
2.187706251E-1,-1.180076877E0,-2.492292641E0,-2.987895623E0,4.065910021E0
2.287976251E-1,-2.743377929E0,-2.890547669E0,-2.366548269E0,4.634861270E0
2.388246250E-1,-3.549169854E0,-2.404190012E0,-1.692246775E0,4.608734687E0
2.488506250E-1,-2.772256157E0,-2.240821730E0,-1.778025429E0,3.983473441E0
2.588776250E-1,-2.471551398E0,-2.813820505E0,-1.326868887E0,3.973252218E0
2.689046250E-1,-3.045607057E0,-3.464489307E0,-6.527463180E-1,4.658807386E0
2.789306251E-1,-3.645132603E0,-4.215004579E0,-7.772423100E-1,5.626487440E0
2.889576250E-1,-4.516739033E0,-4.978425826E0,-1.174782223E0,6.823911523E0
2.989846250E-1,-5.516578996E0,-6.022740880E0,-1.872979533E0,8.379385650E0
3.090116250E-1,-5.763653094E0,-5.523011518E0,-1.342463411E0,8.094786052E0
3.190376250E-1,-5.901404724E0,-5.369004044E0,-1.387592221E0,8.098036448E0
3.290646250E-1,-6.756473474E0,-5.862658149E0,-2.356901532E0,9.250712362E0
3.390916251E-1,-7.153613437E0,-6.948821141E0,-3.154292178E0,1.045991681E1
3.491176250E-1,-6.270124880E0,-7.463845065E0,-3.412269286E0,1.032797322E1
3.591446250E-1,-4.027809479E0,-7.369369848E0,-2.751154433E0,8.837404136E0
3.691716250E-1,-1.783070991E0,-7.213758482E0,-1.059154703E0,7.505961783E0
3.791976250E-1,3.229358733E-2,-7.112433836E0,9.253686547E-1,7.172451819E0
3.892246251E-1,1.356427732E0,-7.079045650E0,2.261938072E0,7.554412443E0
3.992516251E-1,2.088792077E0,-7.000991753E0,2.901845074E0,7.861147671E0
4.092786250E-1,1.989566581E0,-6.582006007E0,3.343815055E0,7.646062868E0
4.193046250E-1,1.901972367E0,-5.954248935E0,3.961931531E0,7.400505437E0
4.293316250E-1,3.056895107E0,-5.241396164E0,4.244468991E0,7.404887471E0
4.393586250E-1,5.815899720E0,-4.977684399E0,3.778719846E0,8.537022619E0
4.493846251E-1,8.962404576E0,-4.779999686E0,3.685509381E0,1.080537238E1
4.594116251E-1,1.091313804E1,-3.666776657E0,4.754595872E0,1.245584260E1
4.694386250E-1,1.140846972E1,-2.582857241E0,6.140289211E0,1.321088507E1
4.794646250E-1,1.090527354E1,-2.643898079E0,6.303843434E0,1.287064995E1
4.894916250E-1,1.082341252E1,-2.967712789E0,5.774727135E0,1.262145203E1
4.995186250E-1,1.158204431E1,-3.431844302E0,4.755054002E0,1.298198153E1
5.095456251E-1,1.241869550E1,-3.593007599E0,3.856688081E0,1.349102459E1
5.195716250E-1,1.305048949E1,-3.968989998E0,3.558608429E0,1.409722851E1
5.295986250E-1,1.330646188E1,-4.150175330E0,4.493006355E0,1.464489635E1
5.396256250E-1,1.280150803E1,-3.434019467E0,3.514474523E0,1.371213436E1
5.496516250E-1,1.342840673E1,-1.904752718E0,-3.778849654E0,1.407941387E1
5.596786250E-1,1.906116172E1,2.216987017E0,-2.241798157E1,2.950946992E1
5.697056251E-1,1.470957612E1,4.696215225E0,-1.657358661E1,2.265192796E1
5.797316250E-1,1.078215924E1,1.957849529E0,-6.492985073E0,1.273762097E1
5.897586250E-1,8.369725535E0,-3.775785713E0,-3.235359730E0,9.735317964E0
5.997856250E-1,6.555988237E0,-6.122218391E0,6.964571786E-1,8.997087995E0
6.098126250E-1,7.491858491E0,-6.244314685E0,1.087395936E1,1.460692992E1
6.198386251E-1,4.131683511E0,-3.406319452E0,8.499402745E0,1.004557952E1
6.298656251E-1,3.025138879E0,-2.021973605E0,3.429160430E0,4.999898374E0
6.398926250E-1,2.319765281E0,-1.713772130E-1,-4.402193248E-1,2.367377064E0
6.499186250E-1,2.177234137E-1,1.100642452E0,-1.478018827E0,1.855628450E0
6.599456250E-1,-2.987727224E0,2.454411455E0,-2.726042688E0,4.730957439E0
6.699726250E-1,-3.311705071E0,2.083276983E0,-2.340517049E0,4.559106658E0
6.799986251E-1,-1.245469213E0,6.202211809E-1,-1.266030362E-1,1.397102789E0
6.900256251E-1,-1.609098784E0,3.554422992E-1,1.124230471E1,1.136243606E1
7.000526250E-1,-7.110013089E0,3.616877103E0,7.362131580E0,1.085518620E1
