"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.271708360E-3,6.681592861E-1,3.236451405E-1,3.481788880E-1,8.200070406E-1
1.529770833E-2,1.088589879E0,7.064874923E-1,1.091195691E-1,1.302328523E0
2.532470832E-2,1.038275612E0,9.102845925E-1,-2.198599863E-1,1.398203382E0
3.535070841E-2,1.419480304E-1,6.184851426E-1,-8.263308549E-1,1.041871296E0
4.537670838E-2,-7.552985868E-1,1.367447394E-1,-8.173103553E-1,1.121236503E0
5.540370836E-2,-8.487110728E-1,-2.500444829E-2,-5.935216248E-1,1.035955417E0
6.542970834E-2,-6.819844428E-1,-1.526327938E-1,-8.750007391E-2,7.043122978E-1
7.545570831E-2,-2.715970275E-1,-2.091192359E-1,7.894723463E-1,8.606755403E-1
8.548170840E-2,-3.719549824E-1,-1.572789913E-1,1.312532099E0,1.373254420E0
9.550870839E-2,-6.054461440E-1,-1.401057190E-1,7.752571803E-1,9.935886178E-1
1.055347084E-1,-6.429957935E-1,-5.833123863E-2,1.513581008E-1,6.631405572E-1
1.155607083E-1,-5.020482217E-1,6.763474345E-3,-1.528754532E-2,5.023264581E-1
1.255867083E-1,-2.005054101E-1,8.196042180E-3,-6.493683815E-2,2.109179640E-1
1.356137084E-1,3.515594557E-2,7.270954192E-2,-2.913930684E-1,3.023781380E-1
1.456397084E-1,3.119855002E-2,7.857371449E-2,-5.956815863E-1,6.016508376E-1
1.556657084E-1,3.615831913E-1,6.074555397E-2,-1.144248063E0,1.201555682E0
1.656927083E-1,1.066774356E0,4.621317655E-1,-1.281262359E0,1.730088590E0
1.757187083E-1,-4.593957071E-1,3.217722774E-3,-1.093582524E0,1.186160827E0
1.857447084E-1,-6.359846896E-1,-1.107101871E0,-1.556140552E0,2.012889588E0
1.957707084E-1,9.921043888E-2,-9.020838726E-1,-1.311954394E0,1.595249935E0
2.057977084E-1,2.461195394E-1,-4.866731143E-1,-5.168482554E-1,7.513705258E-1
2.158237083E-1,9.026504678E-1,-8.597740048E-1,-1.338082677E-1,1.253751913E0
2.258497083E-1,1.022485206E0,-1.166887897E0,-4.598835111E-2,1.552165677E0
2.358767084E-1,7.018883649E-1,-8.957045603E-1,-1.649955618E-1,1.149851065E0
2.459027084E-1,4.270430629E-1,-8.018561643E-1,-4.554735410E-1,1.016265336E0
2.559287084E-1,-4.813427925E-3,-7.717406648E-1,-8.731261218E-1,1.165313712E0
2.659547083E-1,1.461688431E-1,-7.244612485E-1,-1.238508688E0,1.442259755E0
2.759817083E-1,6.781030610E-2,-7.419227886E-1,-1.350292248E0,1.542185727E0
2.860077084E-1,-3.411674917E-1,-6.684572017E-1,-1.459101915E0,1.640795138E0
2.960337084E-1,-9.100188366E-1,-4.988797617E-1,-1.791243644E0,2.070161610E0
3.060607084E-1,-1.881462674E0,-7.285581002E-1,-2.149552833E0,2.948097027E0
3.160867083E-1,-3.118082126E0,-1.390948231E0,-2.455946349E0,4.205810932E0
3.261127083E-1,-3.303449679E0,-1.989342048E0,-2.929181392E0,4.842557712E0
3.361387084E-1,-1.035576683E0,-1.900132833E0,-3.961806108E0,4.514291915E0
3.461657084E-1,1.562055303E0,-8.253406289E-1,-4.493316842E0,4.828157015E0
3.561917084E-1,-2.451263899E-1,-9.416470107E-1,-3.517909470E0,3.649996312E0
3.662177083E-1,-3.458945270E0,-2.231157160E0,-2.023913711E0,4.586784425E0
3.762437083E-1,-3.810553550E0,-3.534046323E0,-1.542453389E0,5.421158938E0
3.862707084E-1,-2.724897804E0,-4.437004939E0,-2.040586461E0,5.592501585E0
3.962967084E-1,-3.089666412E0,-5.292394994E0,-3.066462321E0,6.852639964E0
4.063227084E-1,-3.963580738E0,-6.352330885E0,-4.584008911E0,8.779249264E0
4.163497083E-1,-4.525898112E0,-6.386146502E0,-4.444910082E0,9.001324709E0
4.263757083E-1,-5.608284388E0,-6.182045932E0,-3.818521843E0,9.178870014E0
4.364017084E-1,-6.946401563E0,-6.736440328E0,-3.155294391E0,1.017781930E1
4.464277084E-1,-7.475557623E0,-7.802812834E0,-2.594848126E0,1.111310428E1
4.564547084E-1,-6.037681101E0,-8.776329217E0,-2.406446160E0,1.092101326E1
4.664807083E-1,-3.401644603E0,-8.832334433E0,-2.224470869E0,9.722632781E0
4.765067083E-1,-8.789078486E-1,-7.746852642E0,-1.713960410E0,7.982722916E0
4.865337084E-1,1.002985765E0,-6.342243268E0,-8.081992239E-1,6.471724353E0
4.965597084E-1,1.273929951E0,-5.984800637E0,2.864065629E-1,6.125582821E0
5.065861250E-1,-1.176298406E0,-6.970489753E0,1.201151996E0,7.170367595E0
5.166121250E-1,-5.222116724E0,-8.558797592E0,1.787361678E0,1.018421234E1
5.266391250E-1,-4.074588958E0,-9.480075535E0,1.461539619E0,1.042162201E1
5.366651251E-1,-1.090202833E0,-9.366652415E0,1.964089093E0,9.632256519E0
5.466911250E-1,2.793658721E0,-7.588134066E0,2.369565432E0,8.426099215E0
5.567181250E-1,7.156093826E0,-5.344014798E0,2.133594905E0,9.182614020E0
5.667441250E-1,1.047212584E1,-3.329566853E0,2.308488341E0,1.122855972E1
5.767701251E-1,1.184636536E1,-2.241116430E0,3.087134567E0,1.244545599E1
5.867961250E-1,1.146511637E1,-2.027106583E0,3.853765643E0,1.226415770E1
5.968231250E-1,1.126565381E1,-1.655206126E0,6.844474654E0,1.328538657E1
6.068491250E-1,1.290025230E1,-1.746300775E0,5.525819351E0,1.414216233E1
