"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.285999971E-3,4.454888356E-1,-1.075228114E0,-1.463949841E0,1.870220559E0
1.531299995E-2,3.237588689E-1,-1.177546202E0,-1.618965960E0,2.027926439E0
2.533999993E-2,9.599701381E-1,-8.431053472E-1,-1.294712124E0,1.818969152E0
3.536699992E-2,1.227386406E0,-5.893443739E-1,-1.225243109E0,1.831672694E0
4.539300001E-2,1.245516868E0,-3.409458822E-1,-1.018518893E0,1.644669298E0
5.541999999E-2,1.198733003E0,-3.122670436E-1,-7.596772742E-1,1.453128033E0
6.544699997E-2,1.155252815E0,-5.442895308E-1,-8.638384044E-1,1.541777205E0
7.547399995E-2,1.066311110E0,-9.499409938E-1,-1.078120732E0,1.789343899E0
8.550099994E-2,5.569051909E-1,-1.436191647E0,-1.466646577E0,2.126932538E0
9.552699991E-2,-4.294598633E-1,-1.607134412E0,-2.092258306E0,2.672987394E0
1.055540000E-1,-1.103014083E0,-1.633290177E0,-2.664295506E0,3.314022845E0
1.155810000E-1,-8.316100135E-1,-2.022897465E0,-3.095099645E0,3.789898571E0
1.256080000E-1,-1.110335674E0,-2.503175479E0,-3.352878824E0,4.329033287E0
1.356350000E-1,-2.358320067E0,-2.698024001E0,-3.421916900E0,4.954848364E0
1.456609999E-1,-3.686385294E0,-2.385501726E0,-3.426947259E0,5.569921233E0
1.556879999E-1,-4.605488657E0,-1.749508850E0,-3.392662110E0,5.981760877E0
1.657150000E-1,-5.049890496E0,-1.224170145E0,-3.290365657E0,6.150324603E0
1.757420000E-1,-5.265896582E0,-1.127405158E0,-2.984039385E0,6.156719926E0
1.857690000E-1,-4.475995050E0,-1.977273980E0,-2.456268530E0,5.475162023E0
1.957949999E-1,-2.963498701E0,-3.133043396E0,-2.361430201E0,4.916771102E0
2.058219999E-1,-2.606029172E0,-3.844718246E0,-2.832481894E0,5.440238976E0
2.158489999E-1,-3.703235800E0,-4.379215737E0,-3.354164042E0,6.643937258E0
2.258760000E-1,-5.389203250E0,-5.176736484E0,-3.982566063E0,8.467759133E0
2.359020000E-1,-6.970662830E0,-6.566437211E0,-5.120726005E0,1.085956135E1
2.459290000E-1,-6.864996627E0,-7.500950326E0,-5.793556924E0,1.170289436E1
2.559559999E-1,-6.156916938E0,-7.704252167E0,-5.117983661E0,1.111111535E1
2.659829999E-1,-5.548646296E0,-7.183931251E0,-3.388189575E0,9.688971696E0
2.760099999E-1,-4.724951951E0,-7.042830335E0,-1.712324944E0,8.652091469E0
2.860360000E-1,-3.848664240E0,-7.966253037E0,-2.744104153E-1,8.851480382E0
2.960630000E-1,-3.352197624E0,-9.045184777E0,6.816733709E-1,9.670433038E0
3.060900000E-1,-2.728447064E0,-9.625696932E0,1.126213788E0,1.006810917E1
3.161170000E-1,-9.297587442E-1,-9.204396273E0,1.326928236E0,9.345913579E0
3.261439999E-1,1.189450548E0,-8.765225939E0,1.601136338E0,8.989305643E0
3.361699999E-1,2.243853219E0,-8.521481246E0,2.277055756E0,9.101401146E0
3.461970000E-1,2.576664455E0,-8.560268167E0,3.137976985E0,9.474401847E0
3.562240000E-1,2.405196025E0,-8.666564700E0,3.895881968E0,9.801643124E0
3.662510000E-1,3.164244724E0,-8.397875201E0,5.078815502E0,1.031169819E1
3.762780000E-1,5.476810328E0,-7.304490312E0,5.502884817E0,1.065986733E1
3.863039999E-1,8.205639800E0,-6.038875687E0,3.246163046E0,1.069290038E1
3.963309999E-1,1.114791428E1,-4.850484947E0,3.159368731E0,1.256124228E1
4.063580000E-1,1.318807448E1,-4.357911115E0,4.798414614E0,1.469494745E1
4.163850000E-1,1.284284083E1,-4.240584978E0,5.616635966E0,1.464471649E1
4.264120000E-1,1.212066526E1,-4.013083851E0,5.068699819E0,1.373706978E1
4.364379999E-1,1.195967855E1,-3.407350901E0,4.337424518E0,1.317031520E1
4.464649999E-1,1.208945750E1,-3.293048360E0,3.609264320E0,1.303939949E1
4.564919999E-1,1.260052169E1,-4.071751304E0,3.130504535E0,1.360707037E1
4.665190000E-1,1.323583336E1,-4.164018028E0,9.717525700E-1,1.390937217E1
4.765460000E-1,1.379068852E1,-3.558097383E0,-1.555951979E0,1.432704203E1
4.865720000E-1,1.593441110E1,-1.150705143E0,-1.098968044E1,1.939078790E1
4.965989999E-1,1.877247884E1,2.738568594E0,-2.486668789E1,3.127711442E1
5.066259999E-1,1.707264530E1,3.236480057E0,-1.051761834E1,2.031182700E1
5.166532500E-1,1.296236494E1,1.441818715E0,-3.866407031E0,1.360333964E1
5.266802500E-1,9.029527688E0,-1.453464029E0,-9.004986924E-1,9.189985084E0
5.367062499E-1,8.447757797E0,-4.403339887E0,4.416111960E0,1.050028851E1
5.467332499E-1,7.848172025E0,-5.480118683E0,5.367942190E0,1.097452998E1
5.567602500E-1,5.359798772E0,-3.764674249E0,2.419263257E0,6.982338418E0
5.667872500E-1,2.949947779E0,-5.725523400E-1,-1.517222654E0,3.366299550E0
5.768142500E-1,1.838877402E0,2.068806878E0,-3.251534883E0,4.270118393E0
5.868402499E-1,7.022880220E-1,2.792169435E0,-2.306763997E0,3.689251788E0
5.968672499E-1,-5.815348327E-2,2.990335082E0,-9.702963209E-1,3.144353778E0
6.068942499E-1,-2.496064680E0,3.820187715E0,-2.242135892E0,5.084421936E0
6.169212500E-1,-1.311525793E0,1.905269027E0,-2.773006940E-1,2.329602036E0
6.269472500E-1,9.003981203E-1,-5.795076030E-1,7.273179642E0,7.351577242E0
6.369742500E-1,-3.074457804E0,2.509626127E0,1.016052421E1,1.090810553E1
6.470012499E-1,-6.321958693E0,6.592576604E0,-6.240528613E0,1.106225227E1
