"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
7.830708288E-3,2.052185583E-1,-4.052629155E-1,-4.155247790E-1,6.156407469E-1
1.785670826E-2,2.321525878E-1,-6.292393416E-1,-5.340589499E-1,8.573540313E-1
2.788370824E-2,1.655738515E-1,-8.302148679E-1,-7.320433331E-1,1.119177765E0
3.791070834E-2,1.490478659E-1,-9.479125947E-1,-1.086412668E0,1.449498547E0
4.793770832E-2,1.102226463E-1,-1.117345608E0,-1.552749751E0,1.916152925E0
5.796470831E-2,2.620868236E-2,-1.222731146E0,-2.113978958E0,2.442266444E0
6.799170829E-2,-2.547690332E-2,-1.257931384E0,-2.532937807E0,2.828217526E0
7.801770826E-2,9.297716081E-2,-1.384629145E0,-2.971301810E0,3.279401938E0
8.804470825E-2,2.275479054E-1,-1.381414638E0,-3.244904140E0,3.534046877E0
9.807170834E-2,-1.219436824E-2,-1.440121560E0,-3.351118813E0,3.647478048E0
1.080987083E-1,-1.957580557E-1,-1.552501829E0,-3.617546609E0,3.941475183E0
1.181257083E-1,-9.256580919E-2,-1.604131282E0,-4.012086316E0,4.321879476E0
1.281527083E-1,-9.152325064E-2,-1.591683144E0,-4.369548828E0,4.651321178E0
1.381787083E-1,-3.350779089E-1,-1.568619972E0,-4.407461005E0,4.690262075E0
1.482057082E-1,-7.996924022E-1,-1.636150050E0,-4.253484521E0,4.626945590E0
1.582327083E-1,-1.219285381E0,-1.988759081E0,-4.303315662E0,4.894930562E0
1.682597083E-1,-1.868322226E0,-2.587663068E0,-4.543774220E0,5.552703148E0
1.782867083E-1,-3.067305490E0,-3.525987690E0,-5.095860720E0,6.914387076E0
1.883137083E-1,-4.416197914E0,-4.176799457E0,-5.478239973E0,8.182882800E0
1.983397083E-1,-3.737913297E0,-3.179321477E0,-5.069383358E0,7.055404206E0
2.083667082E-1,-3.260326172E0,-2.202754602E0,-4.585003522E0,6.041863279E0
2.183937083E-1,-4.133558713E0,-2.920468164E0,-4.459415855E0,6.745504554E0
2.284207083E-1,-5.691145281E0,-5.010570309E0,-4.161271591E0,8.649342789E0
2.384477083E-1,-6.368161052E0,-6.806381214E0,-3.389680030E0,9.918176804E0
2.484747083E-1,-5.943911058E0,-7.360929392E0,-2.559034515E0,9.801123294E0
2.585007083E-1,-4.795326700E0,-6.882196797E0,-1.685975636E0,8.555834544E0
2.685277082E-1,-3.696579330E0,-6.193455019E0,-1.139590171E0,7.302208541E0
2.785547083E-1,-2.960337111E0,-6.284129546E0,-1.015765147E0,7.020374548E0
2.885817083E-1,-2.489752611E0,-6.477851309E0,-5.820166433E-1,6.964206274E0
2.986087083E-1,-2.249893978E0,-6.427716697E0,5.176072240E-2,6.810304254E0
3.086347083E-1,-2.018790965E0,-6.418745314E0,7.881114069E-1,6.774727150E0
3.186617083E-1,-1.036478616E0,-6.444750806E0,1.856699131E0,6.786488970E0
3.286887083E-1,7.665044832E-1,-6.277648492E0,2.742936172E0,6.893482325E0
3.387157083E-1,2.308525178E0,-5.947788931E0,3.423426651E0,7.240533938E0
3.487427083E-1,3.931823341E0,-5.384712589E0,4.794621525E0,8.212354109E0
3.587697083E-1,5.519811922E0,-5.040520917E0,5.749408107E0,9.430316450E0
3.687957083E-1,6.689433392E0,-4.430767129E0,5.124857647E0,9.520734340E0
3.788227083E-1,8.707821484E0,-3.835046074E0,5.304912128E0,1.089384349E1
3.888497083E-1,1.028129026E1,-3.382255236E0,5.804654939E0,1.228163665E1
3.988767084E-1,1.177100410E1,-3.031778977E0,6.056832486E0,1.358062742E1
4.089037083E-1,1.277663047E1,-2.154110153E0,5.964939984E0,1.426404521E1
4.189307083E-1,1.255448539E1,-1.337062338E0,5.048004768E0,1.359724940E1
4.289567083E-1,1.178151389E1,-1.457070007E0,3.564150420E0,1.239476868E1
4.389837083E-1,1.118296132E1,-1.962691024E0,2.869407645E0,1.171086163E1
4.490107083E-1,1.081904816E1,-2.259444235E0,2.649776870E0,1.136565919E1
4.590377082E-1,1.068220811E1,-2.510794986E0,2.750574974E0,1.131279471E1
4.690647083E-1,1.035776950E1,-2.540110002E0,3.226397410E0,1.114204596E1
4.790917083E-1,1.016887286E1,-2.225616923E0,2.921297591E0,1.081172167E1
4.891177083E-1,1.120967608E1,-1.026120273E0,-1.661159176E0,1.137845378E1
4.991447083E-1,1.577243855E1,2.813422310E0,-1.784004207E1,2.397816223E1
5.091717083E-1,1.224696746E1,1.177329270E0,-1.019933452E1,1.598126217E1
5.191987082E-1,7.211687983E0,-2.397608678E0,-1.072110379E0,7.675049942E0
5.292257083E-1,4.451781730E0,-2.824453667E0,-1.809160975E0,5.573953940E0
5.392527083E-1,4.148381989E0,-3.507370448E0,7.095657590E-1,5.478522077E0
5.492787083E-1,3.916109533E0,-2.300140271E0,-6.648290044E-1,4.590049755E0
5.593057083E-1,3.534014456E0,-1.399139888E0,-2.659991079E0,4.639224411E0
5.693327083E-1,1.823482853E0,-1.141812113E0,-8.947903481E-1,2.330123255E0
5.793597082E-1,1.789692378E-1,1.166959818E0,-2.539324428E0,2.800356005E0
5.893867083E-1,-1.091792107E-1,2.438780093E0,-2.085867299E0,3.210982845E0
5.994137083E-1,-3.300150973E-1,1.794708120E0,-3.770194021E-1,1.863338624E0
6.094397083E-1,-4.475464708E-1,-5.305915511E-1,8.056328809E-1,1.063423517E0
6.194667083E-1,6.246171176E-1,-3.573160980E0,7.560786054E0,8.385887650E0
6.294937083E-1,-1.365551727E0,-2.695641260E0,9.675243314E0,1.013615048E1
6.395207082E-1,-5.640201999E0,3.194702286E0,-9.054613413E0,1.113570947E1
6.495477083E-1,5.706999421E-1,3.256846493E0,-3.688450531E0,4.953525494E0
6.595747083E-1,-2.663006195E0,4.918987709E0,-5.412026103E0,7.783191416E0
6.696007083E-1,-3.083328030E0,8.075878390E0,-3.990542250E0,9.521089799E0
6.796277083E-1,-4.281417840E0,9.270486183E0,-2.193151720E0,1.044425044E1
6.896547083E-1,-3.648155029E0,6.932883385E0,3.327556872E-1,7.841213777E0
6.996817082E-1,-4.222954454E0,5.685591010E0,2.995163128E-1,7.088652868E0
7.097087083E-1,-5.396156759E0,5.795213440E0,-6.233652288E-1,7.943021515E0
7.197347083E-1,-3.884160932E0,4.206744218E0,-9.508353254E-1,5.804092597E0
7.297617083E-1,-2.293876734E0,3.344923103E0,-2.086354373E0,4.561058605E0
7.397887083E-1,-2.151651399E0,3.868601491E0,-1.625734697E0,4.715792038E0
7.498157083E-1,-2.471150279E0,4.453306099E0,-1.650291395E0,5.353688504E0
7.598427082E-1,-2.654611348E0,4.857114227E0,-1.535876441E-1,5.537337735E0
7.698697083E-1,-2.768513355E0,4.017648187E0,2.880734579E-1,4.887652757E0
7.798957083E-1,-3.224155295E0,1.506318181E0,-1.554629923E0,3.883432249E0
7.899227083E-1,-2.607250655E0,-4.400836694E-1,-1.145979570E0,2.881787430E0
7.999497083E-1,1.405670643E-2,-2.307665053E0,-3.093402198E-1,2.328348548E0
8.099767083E-1,-7.947360098E-1,7.816224593E-1,2.619738261E-1,1.145063003E0
